experiment_id,trial_id,timestamp,curve_name,curve_description,elo,tolerance,cp_loss,soundness_score,tol_at_min_elo,tol_at_max_elo
exp7,1,2026-02-25T14:04:23.321396+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,0,100,130.0,50.0
exp7,2,2026-02-25T14:04:23.321689+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,10,92,130.0,50.0
exp7,3,2026-02-25T14:04:23.321693+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,30,78,130.0,50.0
exp7,4,2026-02-25T14:04:23.321695+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,50,66,130.0,50.0
exp7,5,2026-02-25T14:04:23.321697+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,80,51,130.0,50.0
exp7,6,2026-02-25T14:04:23.321699+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,120,37,130.0,50.0
exp7,7,2026-02-25T14:04:23.321700+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,200,19,130.0,50.0
exp7,8,2026-02-25T14:04:23.321702+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),500,122.0,300,8,130.0,50.0
exp7,9,2026-02-25T14:04:23.321709+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,0,100,130.0,50.0
exp7,10,2026-02-25T14:04:23.321711+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,10,90,130.0,50.0
exp7,11,2026-02-25T14:04:23.321713+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,30,73,130.0,50.0
exp7,12,2026-02-25T14:04:23.321714+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,50,60,130.0,50.0
exp7,13,2026-02-25T14:04:23.321716+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,80,44,130.0,50.0
exp7,14,2026-02-25T14:04:23.321717+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,120,29,130.0,50.0
exp7,15,2026-02-25T14:04:23.321718+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,200,12,130.0,50.0
exp7,16,2026-02-25T14:04:23.321720+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),800,98.0,300,4,130.0,50.0
exp7,17,2026-02-25T14:04:23.321722+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,0,100,130.0,50.0
exp7,18,2026-02-25T14:04:23.321724+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,10,88,130.0,50.0
exp7,19,2026-02-25T14:04:23.321725+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,30,69,130.0,50.0
exp7,20,2026-02-25T14:04:23.321726+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,50,54,130.0,50.0
exp7,21,2026-02-25T14:04:23.321727+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,80,37,130.0,50.0
exp7,22,2026-02-25T14:04:23.321728+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,120,23,130.0,50.0
exp7,23,2026-02-25T14:04:23.321730+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,200,8,130.0,50.0
exp7,24,2026-02-25T14:04:23.321731+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1000,82.0,300,2,130.0,50.0
exp7,25,2026-02-25T14:04:23.321732+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,0,100,130.0,50.0
exp7,26,2026-02-25T14:04:23.321733+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,10,85,130.0,50.0
exp7,27,2026-02-25T14:04:23.321735+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,30,63,130.0,50.0
exp7,28,2026-02-25T14:04:23.321736+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,50,46,130.0,50.0
exp7,29,2026-02-25T14:04:23.321737+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,80,29,130.0,50.0
exp7,30,2026-02-25T14:04:23.321738+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,120,16,130.0,50.0
exp7,31,2026-02-25T14:04:23.321739+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,200,4,130.0,50.0
exp7,32,2026-02-25T14:04:23.321740+00:00,current_linear,Current: linear 130 (ELO 400) to 50 (ELO 1400),1200,66.0,300,1,130.0,50.0
exp7,33,2026-02-25T14:04:23.321742+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,0,100,150.0,40.0
exp7,34,2026-02-25T14:04:23.321743+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,10,93,150.0,40.0
exp7,35,2026-02-25T14:04:23.321745+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,30,80,150.0,40.0
exp7,36,2026-02-25T14:04:23.321746+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,50,69,150.0,40.0
exp7,37,2026-02-25T14:04:23.321747+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,80,56,150.0,40.0
exp7,38,2026-02-25T14:04:23.321748+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,120,42,150.0,40.0
exp7,39,2026-02-25T14:04:23.321749+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,200,23,150.0,40.0
exp7,40,2026-02-25T14:04:23.321750+00:00,wider_range,Wider: 150 (ELO 400) to 40 (ELO 1400),500,139.0,300,11,150.0,40.0
